_id,creator,image,inventoryspace,productcategory,productdescription,productname,productprice,productquantity,shippingmethod,status,totalinventoryspace
646b848e10e18973d66f7b39,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/03665374-74d3-4925-a82f-ad0e770f6b0f_1.d71ae4304bda899e9d6cbcc6d2cdd942.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"Schiff Buffered Vitamin C Dietary Supplement Tablets' formula combines vitamin C with rose hips (a natural form of bioflavonoids) and is buffered in case the acidic nature of vitamin C irritates your stomach. Vitamin C is needed as a coenzyme for many metabolic pathways. Vitamin C is a powerful antioxidant with important roles in connective tissue, bone and skin health, immune function, and cardiovascular health. It is also necessary to convert folic acid into its active form and helps the body absorb iron.|Schiff Buffered Vitamin C Dietary Supplement Tablets: Supports healthy immune function With rose hips ","Schiff Buffered Vitamin C Dietary Supplement Tablets, 500 mg, 100 count",57,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b3a,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/19aa88cc-339a-4ddc-8f6d-1dd687a398ac_1.2594c9758f470216b102f2c7969db374.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"The Therall Heat Retaining Back Support is constructed with four-way stretch material for light compression. Material has ceramic fibers that retain heat and slowly reflecting it back into the joint and surrounding tissues. The result is therapeutic heat penetrated deep into the aching joint, muscles and surrounding tissues to provide long-lasting, soothing relief. Support promotes healing by increasing circulation around the tender joint and improves joint mobility to allow for faster return to daily activities. Can be used with Therall Body Warmer Patch (sold separately) for over 12 hours of soothing heat therapy.| Material has ceramic fibers that retain heat Can be used with Therall Body Warmer Patch Constructed with four-way stretch material ",FLA Therall Heat Retaining Back Support - X-Large,57,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b3b,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/006495e5-6daa-42c8-9232-62b993228a3c_1.1af61c0a1da56fc54189c9bcf7184ea3.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"VERA WANG Sunglasses MIELA Crystal 53MM|Brand new authentic VERA WANG Sunglasses in color Crystal. This Sunglasses frame size is 53-20-140. This model is a, Female frame and comes with everything you would receive if you purchased it at a local retail store. Shop with confidence.",VERA WANG Sunglasses MIELA Crystal 53MM,234,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b3c,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/d4f6768d-abd3-421f-b6ea-a1d94bcdbd32_1.795c8e6377eb190b35e57d7481e45097.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"|Unda - Muco Coccinum 10 tabsProduct overview:Plex Remedies are condition-specific homeopathic specialties prepared in low dilutions and are recommended for acute and chronic ailments. The product range helps support: the digestive, hormonal, immune, musculoskeletal, nervous, respiratory, skin, oral and vascular systems.Established over half a century ago in Belgium, UNDA is renowned for manufacturing exceptional homeopathic products utilized in supporting immune, lymphatic and endocrine systems. In the production of all homeopathic remedies UNDA uses only pure materials and herbs that are biodynamically grown or wildcrafted. UNDA produces a broad range of homeopathic products in various potencies including: the unique Numbered Compounds, Gemmotherapy macerates, Schessler Tissue Salts, Gammadyn Oligo-Elements, Organotherapy, Plexes, creams and oils, as well as homeopathic compatible dental care.",Seroyal USA - Muco coccinum 10t,57,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b3d,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/069cd099-2dfd-48f2-a2aa-7ba2762d2be0_1.bf85264b16d63fe538b1939bf4f6bf23.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"KENSIE Eyeglasses CHARM Teal 47MM|Brand new authentic KENSIE Eyeglasses in color Teal. This Eyeglasses frame size is 47-16-130. This model is a, Female frame and comes with everything you would receive if you purchased it at a local retail store. Shop with confidence.",KENSIE Eyeglasses CHARM Teal 47MM,83,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b3e,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/7d5e862a-1f37-4d90-b261-ec64b1836fa4_1.fb83a627be9f4f0065ac40b52fa6927b.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"Slippery Stuff Water-based Jelly, 8-oz tube|Easy to use tube with flip-top cap","Slippery Stuff Water-based Jelly, 8-oz",57,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b3f,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/6a4361c4-d8c9-4693-a24d-0d9a5993dd90_1.3e361bef8e9390da16c45024b42f9d75.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"|Carrera 5032/COV Sunglasses CA5032COV-0ZT8-5218 - Green Frame, Lens Diameter 52mm, Distance Between Lenses 18mm","Carrera 5032/COV Sunglasses CA5032COV-0ZT8-5218 - Green Frame, Lens Diameter 52mm, Distance",57,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b40,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/0efcba08-67c9-4197-96b9-3741254cad0b_1.057ce35469a0965f244f35e4d2a8bd0a.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"CARRERA Eyeglasses 8813 0A1A Transparent Matte Blue 55MM|Brand new authentic CARRERA Eyeglasses in color 0A1A Transparent Matte Blue. This Eyeglasses frame size is 55-17-140. This model is a, Male frame and comes with everything you would receive if you purchased it at a local retail store. Shop with confidence.",CARRERA Eyeglasses 8813 0A1A Transparent Matte Blue 55MM,92,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b41,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/a78ad248-da83-48d7-8565-ef7defc02fd4_1.a7489bedfc4499f1cc22edbf35a0310e.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"Auralife is a full spectrum multi vitamin. It contains several minerals chelated to amino acids which promote absorption. Auralife contains a complex proprietary blend of digestion, liver toning and antioxidant promoting enzymes, herbs, and amino acids.|Empirical Labs, Auralife 120 caps","Empirical Labs, Auralife 120 caps",57,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b42,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/57443845-0851-4c2b-8ece-9d7571150813_1.e511d7d5dac79c8b9eaf734ee9be2ef1.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,Sigvaris Advance Armsleeve 912AXRG77-PS 20-30 mmHg Advance Arm Sleeve With Gauntlet Plus; Beige; Extra Large and Regular|Sigvaris Advance armsleeves are woven from microfiber polyamide nylon which pulls moisture away from the skin to keep you comfortable year round. It is also very soft. To further protect your skin the fabric is infused with silver ions which are naturally anti-bacterial. What really sets this sleeve apart is the Sensinnov top-band. The Sensinnov band is used on Sigvaris premium thigh highs. Instead of dots or strips of silicone its one smooth sheet making it very skin friendly. Perfect for fragile or sensitive underarm skin. Sensinnov will keep your sleeve in place and wont roll. Sensinnov grip-top standard.Features. Compression - 20-30mmHg. Size - XR. Color - Beige,Sigvaris Advance Armsleeve 912AXRG77-PS 20-30 mmHg Advance Arm Sleeve With Gauntlet Plus; Beige; Extra Large and Regular,75,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b43,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/c67a34b8-0c32-474d-96d4-00d7143a841e_1.d77f31ab960255a9603fafe7c12702ba.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,|Features Ergo plus reacher basic hip kit Kit Includes 27&quot; Ergo Plus Reacher Sock Aid with Foam Handles (2) Pair Each Elastic Shoe Laces Black &amp; White 27&quot; Dressing Stick 24&quot; Stainless Steel Shoehorn &amp; Long Handle Bath Sponge Specifications Size: 27 in. - SKU: MDP13948,Kinsman Enterprises KNE 37001 27 in. Ergo Plus Reacher Basic Hip Kit,57,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b44,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/8c3e3703-fded-45c2-bea3-30094bb52025_1.6dc745f46d3f484ce422bd09295a8e4f.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,|Bandage Co-Flex 4&quot;X5Yds - 4&quot; X 5 Yard - 1 Roll / Each,"Bandage Co-Flex 4""X5Yds - 4"" X 5 Yard - 1 Roll / Each",57,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b45,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/f5cf7072-41c0-4c7d-a237-7be3e83d85c7_1.fc9d120b9f019b93295ba2d3e34ca466.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"KILTER Eyeglasses K5003 210 Brown 49MM|Brand new authentic KILTER Eyeglasses in color 210 Brown. This Eyeglasses frame size is 49-15-135. This model is a, Kids frame and comes with everything you would receive if you purchased it at a local retail store. Shop with confidence.",KILTER Eyeglasses K5003 210 Brown 49MM,86,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b46,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/07676cc3-de05-4246-95bc-e2075d2411d4_1.fbb96bcba0d2561e0623823da3688b26.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"SUPP TRUNK WALKER BLK SM D/S 1EA/CS DRIVE MED, Model CE 1080 S|Drive Medical Supp Trunk Walker Blk Sm, Each - Model CE 1080 S","Drive Medical Supp Trunk Walker Blk Sm, Each - Model CE 1080 S",322,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b47,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/1e526261-ca37-40b2-a204-b59041065430_1.73ff98d58d6311c5c77eca72a78a00d6.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"VERA WANG Eyeglasses EILONWY Lilac 52MM|Brand new authentic VERA WANG Eyeglasses in color Lilac. This Eyeglasses frame size is 52-00-140. This model is a, Female frame and comes with everything you would receive if you purchased it at a local retail store. Shop with confidence.",VERA WANG Eyeglasses EILONWY Lilac 52MM,234,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b48,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/ed0d8635-4e0d-4dfb-87d2-73c54eac50c1_1.74ff589794a04cc06b57852b5234bb9b.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Health,"|Country of Origin: Ecuador - Latin Botanical Name: Alchornea Floribunda - Plant Parts Used: Bark - Take 1 capsule, 3 times daily, with meals. - TerraVita is an exclusive line of premium-quality, natural source products that use only the finest, purest and most potent ingredients found around the world. TerraVita is hallmarked by the highest possible standards of purity, potency, stability and freshness. All of our products are prepared with the high - Iporuru 4:1 - 450 mg (100 capsules, ZIN: 520567): Iporuru 4:1 - 450 mg","Iporuru 4:1 - 450 mg (100 capsules, ZIN: 520567) - 3-Pack",91,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b49,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/6a560cc0-a210-4ba4-b8a2-6afe4691d629_1.90393d2c8f7d7ecbe81376c0f5095625.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Pets,"|Our soft mesh harnesses are conveniently made to slip over the dog's head and attach only once under the belly. There is a leash attachment on the back for walking. They contain a layer of padd- SKU: ZX9MR70-45MDPK",Skull Crossbones Screen Print Soft Mesh Harness Pink Medium,57,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b4a,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/20f928db-1cc3-42c2-9e37-4ea08e49a2bf_1.76841d4ff814bc3ec67a57d5165f6b66.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Pets,"Mirage 62-26 XLCR Happy Meter Screen Printed Dog Pet Hoodie Cream - Size XL|A poly/cotton sleeved hoodie for cold weather days, double stitched in all the right places for comfort and durability!",Mirage 62-26 XLCR Happy Meter Screen Printed Dog Pet Hoodie Cream - Size XL,57,20,ahmedpandit48@gmail.com,active,100
646b848e10e18973d66f7b4b,ahmedpandit24@gmail.com,https://i5.walmartimages.com/asr/b2968370-7654-42ff-87b6-0d2185821b37_1.1dda5c155b70e4bab807c7562e24b2b1.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5,Pets,"|A poly/cotton sleeveless shirt for every day wear, double stitched in all the right places for comfort and durability! Product Summary : New Pet Products/British Flag Heart Screen Print S- SKU: ZX9MR51-137SMBBL",British Flag Heart Screen Print Shirt Baby Blue Sm - 10,57,20,ahmedpandit48@gmail.com,active,100
